C1,C2,C3
Joke,Relationship,"Pyaar andha hota hai, shaadi aankhein khol deti hai."
Joke,Sarcasm,"Tumhara future bright hai... tube light ki tarah!"
Joke,College Life,"Exam ke pehle wali raat, bhagwan bhi serious ho jaata hai."
Joke,Marriage,"Mujhse shaadi karogi? Pehle EMI khatam hone do!"
Joke,Work,"Monday ka naam sunte hi battery low ho jaati hai."
Joke,Friendship,"Asli dosti toh wahi hai jo assignment ke answers bhi de."
Joke,Self-Deprecation,"Main smart hoon, bas duniya samajh nahi paayi!"
Joke,Technology,"Mobile ka pyaar bhi ajeeb hai, sab kuch usi mein chhupa hai."
Joke,Student Life,"Class mein peechhe baithne wale hi asli genius hote hain."
Joke,Food,"Zindagi mein bas do hi chize important hain – khaana aur sone ka time."
Joke,Money,"Paise ka kya hai, aate jaate rehte hain – bas jaate zyada hain!"
Joke,Overthinking,"Overthinking ka level – message dekha, reply nahi aaya, breakup confirm!"
Joke,Gym,"Gym join karna aasaan hai, jaate rehna mushkil."
Joke,Family,"Maa: ‘Beta kya kar raha hai?’ Main: ‘Maa, kaam dhoondh raha hoon WhatsApp pe!’"
Joke,Daily Life,"Aaj ka goal – alarm off karke fir so jaana!"
Joke,Love,"Pyaar mein log badal jaate hain, mujhe toh kapde bhi badalne ka mann nahi karta."
Joke,Online Shopping,"Photo mein kuch aur, delivery mein kuch aur... love story jaisi feeling!"
Joke,Indian Moms,"Maa ka Wi-Fi se zyada fast response hota hai!"
Joke,Boredom,"Itna bore ho gaya hoon, fridge khol ke 5 baar dekh chuka hoon."
Joke,Lazy,"Kaam karne ka mann ho raha tha... phir yaad aaya holiday hai!"
Shayari,Romantic,"Tere bina jee na paayein hum, mohabbat mein sab kuch lutaayein hum."
Shayari,Heartbreak,"Toot ke chaha tha tumhe, aur tumne hi tod diya."
Shayari,Cute,"Tum ho toh lagta hai zindagi khubsurat hai."
Shayari,Longing,"Door rehkar bhi tum paas ho, har dhadkan mein kuch khaas ho."
Shayari,Eternal,"Tera naam har sans mein hai, ye pyaar ki inteha hai."
Shayari,Flirty,"Tumhara naam kya hai yaara? Dil mein basne waale ko naam se nahi bulate."
Shayari,Emotional,"Muskuraate chehre ke peeche kitne gham chhupe hote hain."
Shayari,Broken Heart,"Jise chaha usi ne tod diya, ab khud se bhi darr lagta hai."
Shayari,Regret,"Kash kuch pal aur mil jaate, keh paate jo dil mein tha."
Shayari,Silent Love,"Main chup hoon par bechaini bolti hai."
Shayari,Friendship,"Dosti mein no sorry, no thank you – bas yaariyan hi yaariyan."
Shayari,Childhood,"Woh school ki dosti, aaj bhi yaadon mein basi hai."
Shayari,Real Friends,"Asli dost woh hota hai jo bina kaam ke bhi yaad kare."
Shayari,Loyalty,"Dosti mein wafaa zaroori hai, baaki sab toh duniya ka tamasha hai."
Shayari,Life Lesson,"Zindagi jeene ka maza tab aata hai, jab mushkilein ho aur hausla unse bada ho."
Shayari,Dreams,"Sapne wahi sach hote hain jinhe poora karne ki zid ho."
Shayari,Happiness,"Khushi ke pal chhote hote hain, par yaadein gehri chhod jaate hain."
Shayari,Waiting,"Intezaar bhi ek mohabbat hai, bas sabar chahiye."
Shayari,Hope,"Umeed wahi roshni hai jo andheron mein bhi chhalak jaati hai."
Shayari,Farewell,"Alvida kehna aasaan nahi hota, jab dil abhi bhi wahi ruk gaya ho."
